City Ward 11 Totals,127,120,1,45,15,35,5,32,47,5,30,43,5,11,19,41,20,5,2,21,7,31,35,38,40,60,92,13,40,24,15,10,14,16,2,1,7,14,3,5,0,16,0,0,6,4,32,8,3,8,41,28,6,11,16,4,16,24,75,81,77,153,0,5,61,50,107,23,1,3,22,8,1,0,8,28,0,11,23,15,2,13,14,3,2,36,43,78,110,2372,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subdivision,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,96,97,98,99,Total,,,,,,,,,,,,,,,,,,,,,,
Di Pasquale Norm,0,6,17,39,38,28,0,9,9,5,1,11,8,1,1,1,5,6,9,0,0,11,1,12,1,9,0,1,3,8,1,2,0,9,5,8,0,2,7,11,10,10,2,0,0,2,8,17,28,16,0,54,26,53,17,1,17,2,12,17,0,2,1,5,6,0,2,7,5,6,0,3,45,10,8,75,34,786,,,,,,,,,,,,,,,,,,,,,,
Fortino Iola,4,5,32,38,35,14,1,9,3,3,5,7,3,0,1,2,0,1,10,0,0,11,2,1,0,2,0,0,1,2,4,1,0,4,2,9,3,2,3,8,4,7,3,0,0,5,8,4,12,13,0,24,26,26,17,0,2,1,1,10,0,8,1,0,2,2,1,1,1,1,0,1,28,4,2,41,19,503,,,,,,,,,,,,,,,,,,,,,,
Garcia Alfredo,3,15,15,36,26,9,0,0,2,2,4,5,4,0,2,3,0,4,5,0,0,7,2,1,0,2,3,2,2,1,3,0,0,1,3,4,1,1,1,3,2,4,0,0,0,0,1,5,9,21,0,7,23,9,2,1,3,0,3,4,0,0,0,2,1,0,1,1,1,0,1,2,31,3,2,33,24,368,,,,,,,,,,,,,,,,,,,,,,
Gracias Denise,0,2,9,13,10,6,0,2,1,0,1,5,2,0,1,2,0,2,2,1,1,9,2,4,1,7,1,1,3,1,0,1,0,4,4,5,0,3,6,3,5,11,3,0,0,1,7,5,2,8,0,10,15,14,5,2,2,0,2,7,0,2,1,0,1,0,0,2,1,1,0,3,15,0,2,18,9,269,,,,,,,,,,,,,,,,,,,,,,
Harrison Angelo,2,5,4,12,7,3,0,4,0,1,2,1,2,0,1,0,0,3,2,1,1,6,1,2,0,1,0,2,1,0,1,1,0,4,1,3,0,3,3,1,1,2,1,0,0,0,2,0,5,7,0,7,11,9,3,1,3,0,1,4,1,6,0,0,0,1,0,1,0,0,0,0,6,2,0,13,6,174,,,,,,,,,,,,,,,,,,,,,,
MacCallum Marnie,1,3,14,22,17,9,0,2,2,4,4,12,9,0,1,0,2,12,11,0,0,7,5,14,0,9,3,8,1,0,3,1,2,10,5,14,1,16,7,13,7,9,2,0,0,4,7,7,7,17,0,25,20,13,7,0,4,1,6,7,0,4,2,7,3,1,2,10,3,5,1,2,17,7,7,90,13,561,,,,,,,,,,,,,,,,,,,,,,
Weber Sandra,3,12,9,27,17,7,0,1,4,2,3,5,7,0,1,4,0,4,15,0,2,10,1,11,0,11,0,1,2,0,2,2,0,9,5,4,0,3,3,14,4,5,0,1,0,0,8,9,11,19,0,20,26,10,3,0,1,2,4,8,1,4,0,0,3,1,0,4,2,1,0,0,14,6,6,54,20,448,,,,,,,,,,,,,,,,,,,,,,
